recipe_id,title,ingredients
6,پیتزا بلونز,mt-garlicpowder|mt-mincedmeat|mt-cream|mt-paprika|mt-Mahmorrah-sauce|mt-bellpepper|mt-onion|mt-mushrooms|mt-Dough
7,پیتزا پنیر,mt-goudacheese|mt-cheese(processcheese)|mt-Dough|mt-mozzarellacheese|mt-Mahmorrah-sauce
8,پیتزا پنیر و زعتر,mt-zaatar|mt-cheese|mt-Mahmorrah-sauce|mt-liquidoil|mt-Dough
9,پیتزا سبزیجات,mt-Dough|mt-vegetableextract|mt-mushrooms|mt-ketchup|mt-Canned-vegetables|mt-cheese(processcheese)|mt-bellpepper
10,پیتزا سیر و استیک,mt-salt|mt-blackpepper|mt-liquidoil|mt-mushrooms|mt-garlicpowder|mt-thyme|mt-Dough|mt-cheese(processcheese)|mt-calffillet|mt-Mahmorrah-sauce|mt-garlic
11,پیتزا قارچ و مرغ سوخاری,mt-blackpepper|mt-Panko-Powder|mt-chickenmeat|mt-buttonmushrooms|mt-eggs|mt-bellpepper|mt-salt|mt-whiteflour|mt-paprika|mt-Dough|mt-cowmilk|mt-garlicpowder|mt-gingerpowder|mt-cheese(processcheese)|mt-liquidoil|mt-thyme
12,پیتزا مخلوط,mt-garlic|mt-bellpepper|mt-cheese(processcheese)|mt-ham|mt-Pepper-Sauce|mt-tomatopaste|mt-sausage|mt-Dough|mt-mushrooms|mt-salt|mt-blackpepper|mt-ketchup
13,پیتزا استافت کراست,mt-nigellasativa|mt-Dough|mt-garlic|mt-sausage|mt-ketchup|mt-goudacheese|mt-mozzarellacheese|mt-Bacon|mt-cheese(processcheese)|mt-liquidoil
14,دسر کدو حلوایی با خامه,mt-cinnamon|mt-cream|mt-squash|mt-push|mt-saffron|mt-korea|mt-nutmeg|mt-walnut|mt-water|mt-sugarpowder
15,رافیلو,mt-coconutpowder|mt-concentratedhoneymilk|mt-hazelnut
16,رولت شَعریه,mt-concentratedhoneymilk|mt-push|mt-pistachio|mt-it'spoetry.|mt-korea
17,دسر شکلات فندقی,mt-sugar|mt-cocoachocolate|mt-hazelnut|mt-cream|mt-vanilla|mt-water|mt-gelatin|mt-cowmilk
18,فرنی معجون,mt-dates|mt-push|mt-cinnamon|mt-golab|mt-whiteflour|mt-starch|mt-cowmilk
19,قطایف,mt-push|mt-saffron|mt-golab|mt-cream|mt-lemonjuice|mt-whiteflour|mt-sugar|mt-cornstarch|mt-cowmilk|mt-bakingsoda|mt-semolina|mt-sugar|mt-sugar|mt-cowmilk|mt-water|mt-whiteflour|mt-water|mt-salt|mt-golab|mt-liquidoil|mt-doughbread|mt-coconutpowder
20,کرم کافی میکس,mt-instantcoffee|mt-gelatin|mt-cream|mt-sugar|mt-coffeemix|mt-cowmilk|mt-mascarponecheese|mt-water
21,دسر کرم نارگیل,mt-coconutpowder|mt-cream|mt-gelatin|mt-water|mt-golab|mt-sugar|mt-coconutmilk
22,کنافه,mt-sugar|mt-lemonjuice|mt-cream|mt-vanilla|mt-cowmilk|mt-golab|mt-kadayev|mt-water|mt-korea|mt-whiteflour|mt-starch|mt-saffron
23,سالاد اسفناج گرم,mt-oliveoil|mt-spinach|mt-salt|mt-tomatoes|mt-onion|mt-garlic|mt-greenpepper|mt-blackpepper|mt-sesame
24,سالاد آلزاس,mt-mayonnaise|mt-eggs|mt-jafari|mt-lemonjuice|mt-pickles|mt-beetu|mt-salt|mt-potato|mt-blackpepper
25,سالاد بادمجان,mt-tomatoes|mt-redpepper|mt-lemon|mt-olive|mt-garlic|mt-onion|mt-salt|mt-eggplant|mt-spicygreenpepper
26,سالاد تره بار پخته,mt-cauliflower|mt-beetu|mt-oliveoil|mt-wheatgerm|mt-greenbeans|mt-salt|mt-lemonjuice|mt-carrot|mt-bakingsoda|mt-blackpepper|mt-salt
27,سالاد خیار,mt-salt|mt-greekyogurt|mt-oreganoororegano|mt-digger|mt-oliveoil|mt-greencucumber|mt-onion|mt-blackpepper|mt-garlic
28,سالاد ژامبون,mt-celery|mt-frenchsauce|mt-eggs|mt-ham|mt-pickles|mt-scallion
29,سالاد سیب اسفناج با انار,mt-pomegranatepaste|mt-pomegranate|mt-oliveoil|mt-spinach|mt-lemon|mt-appletree|mt-vinegar|mt-sunflowerseeds
30,سالاد سیب خیار با ترب,mt-salt|mt-onion|mt-mustardpowder|mt-radish|mt-blackpepper|mt-appletree|mt-lemonjuice|mt-honey|mt-scallion|mt-garlic|mt-greencucumber|mt-greekyogurt|mt-digger
31,سالاد سیب دانمارکی,mt-walnut|mt-lemon|mt-blackpepper|mt-appletree|mt-salt|mt-celery|mt-mayonnaise
32,سالاد سیب زمینی,mt-blackpepper|mt-lemon|mt-potato|mt-oliveoil|mt-scallion|mt-salt|mt-thyme|mt-digger
33,سالاد سیب زمینی و تخم مرغ,mt-eggs|mt-jafari|mt-mint|mt-onion|mt-greenpepper|mt-scallion|mt-lemonjuice|mt-potato|mt-blackpepper|mt-oliveoil|mt-olive|mt-digger|mt-salt
34,سالاد سیب و کلم,mt-walnut|mt-appletree|mt-raisins|mt-vinegar|mt-mayonnaise|mt-salt|mt-redpepper|mt-mustardpowder|mt-redcabbageleaves|mt-onion
35,سالاد عدس,mt-lentils|mt-salt|mt-tomatoes|mt-pitabread|mt-garlic|mt-scallion|mt-pomegranate|mt-jafari|mt-lemon|mt-oliveoil|mt-blackpepper
36,سالاد قارچ,mt-vinegar|mt-broccoli|mt-oliveoil|mt-mushrooms|mt-blackpepper|mt-salt|mt-onion
37,سالاد کارتوفل,mt-blackpepper|mt-salt|mt-potato|mt-scallion|mt-sausage|mt-lemonjuice|mt-paprika|mt-mayonnaise
38,سالاد کلم مرصع,mt-carrot|mt-lemonjuice|mt-jafari|mt-tomatoes|mt-salt|mt-blackpepper|mt-raisins|mt-sugar|mt-kale|mt-almondslice|mt-oliveoil|mt-celery
